EUKLEMS code,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012
_30,10885,12491,16060,25942,33057,33805,52757,66752,94052,119833,117780,149358,169333,223128,294976,309182,438758,631600,800876,855100,950252,954384,1097088,1214180,1703739,2305799,3139911,3255376,3336096,5460739,8394329,8601482,9430830,9324229,6099848,6091565,6227602,8093846,7401657,7766317,9627176,10233244,8791831
_313,26342,31417,39817,47475,58318,60517,82476,99670,140661,148351,125632,135729,152556,175820,196228,195346,223233,268744,302669,315291,363813,391756,418161,446968,490503,634481,823639,657114,662754,1092086,1163979,1059968,1011588,940218,943713,1107836,1141472,1486920,1826294,1924701,2106694,1705733,1808345
_31x,10449,13949,22269,38303,64899,66269,142219,194104,376126,459780,319139,372647,412193,569051,754479,719137,1112432,1683399,2184523,2166574,2458450,2896060,3115804,3290973,3647349,4046971,4187282,4274296,3578381,5053527,6613731,6446864,7129645,7411064,7292526,7857843,7719627,8465826,8916612,9069827,11415127,12138417,12091182
_321,13110,13206,16172,27337,31966,56053,106279,104821,101799,163724,237968,291626,281630,377181,490145,499558,765072,1111972,1579915,1534675,1642642,1734785,1897440,2511720,3272385,5265987,5677455,6481447,10993416,14401215,19307400,19548317,22107932,28320564,35851144,41905256,52688125,54882072,59036236,67358737,93090494,104207956,112496116
_322,6432,10597,16770,34919,50338,38626,75963,99972,140125,178644,182390,269724,298937,423900,557551,598500,631900,691243,651070,602465,619023,727909,782813,971308,1293256,1183549,1453487,2430352,2167358,3617143,4625876,5953738,8626879,9786411,15825634,17825546,18701017,20745139,23554359,20162688,21081928,22779962,22987628
_323,13616,22435,35501,73923,106564,81771,86372,90583,112498,132968,128885,156627,150256,190550,229171,228547,674039,1117163,1345643,1471887,1709764,1523186,1373687,1506686,1830013,2309431,2230175,1354442,1094828,1239458,1747491,1796450,2187456,2448091,3612043,3117157,3032901,3364413,3820008,3269952,3419033,3694417,3728096
_331t3,13094,13751,15080,29475,43783,55165,88612,100470,122762,148397,148511,158389,166954,177786,264812,294292,371860,519810,554259,548668,610816,684503,720014,881711,1126030,1295360,1351014,1482025,1125894,1491343,1735706,1705878,1714458,1795737,2062652,2192939,2226864,3139938,3161442,2967559,3399382,3937963,4148920
_334t5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_34,110691,92899,73075,100065,129837,131761,158597,311420,555711,629796,373204,434702,565125,845334,840391,1066735,1551488,2401903,3109555,3303595,4240038,4794904,5156637,6028039,7095126,8065383,9256691,9777556,6627081,9752520,11534778,11405241,12383785,12767401,15130206,16254067,17872762,19318955,20141361,20182132,24717132,29373672,30157081
_351,31248,34520,51262,88131,211503,257973,167827,149742,174982,146256,209276,354815,390677,418825,658186,659234,587234,527929,560152,559798,702254,787593,917709,1000116,1125063,2665602,2937161,3287717,3178404,3871632,4529030,4598899,4989576,5697936,6519496,7278529,8205130,9457232,11467003,11614614,10252273,11061573,11160680
