EUKLEMS code,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012
_H,27436,35866,45421,56335,75383,101623,128628,145360,182314,218091,279811,381566,511714,663057,798444,978993,1190391,1456947,1755963,2196486,2754238,3546853,4100806,4480297,5181175,5955971,6948028,7715088,6812558,8709653,10051817,11083520,12309523,13029446,13091508,13290024,13744876,14349145,15961499,16839426,17414924,17795773,18169669
_60,55789,67367,80105,105650,132480,164182,216605,318817,449625,642839,705215,909963,906369,1201462,1379895,1386081,1557298,1786622,2207534,2643070,2976419,3320528,3770713,4178359,4758543,4455310,4929226,4958990,4517441,5158119,5233342,6393353,7225081,7524318,7606909,8138896,8731680,9049526,9815286,9881054,10448294,10262321,9904388
_61,18686,22564,26831,35387,44373,54992,72551,104389,166644,212724,290948,340050,343166,439427,424170,393826,403051,435563,494545,627433,703660,676887,700623,692949,864857,2142913,2444170,2999761,3466312,3481887,3656621,4011747,3715316,4367478,4976412,5038964,4996645,5913302,5270330,5137365,5242971,3502457,2338110
_62,9667,11674,13881,18308,22957,28450,37534,42459,53056,68539,76912,112058,121320,152763,167156,193448,226461,260902,308958,364997,386964,457587,595236,672815,747477,1030006,1144213,1245228,1210093,1419108,1601982,1742049,2019409,1940564,2069421,2126808,2251838,2414331,1985107,2174689,3528140,2957243,2468766
_63,2596,3135,3727,4916,6164,7639,10079,13385,19636,29780,32623,45533,50612,68281,70329,94326,100908,116562,154887,168176,205894,794286,958595,1094539,1255109,1287601,1457978,1551563,1405166,1557771,1733796,2005045,2508633,2608404,2994909,2942268,3186785,3429382,3905569,3791544,4128669,3921764,3626186
_64,7600,8949,10909,14511,20309,37558,55652,81568,107016,131503,189860,241192,385021,483225,557540,611827,698262,801600,1032848,1190279,1349168,1623314,1787162,2108296,2938280,3413609,4177943,4370815,4464624,5138276,4927465,5158623,5379027,7385728,6885096,7574948,7736168,8184703,7990011,8387867,7523262,7844443,8079323
_65,38219,50388,57431,71951,100441,133968,153765,215115,331686,469382,749060,935496,1164229,1379480,1528414,1786578,1952822,2234171,2898749,3790628,4627430,6373793,7202200,8110654,10170786,10015693,11036584,11475907,12685983,9872289,11797557,12328693,12610605,13478523,13507606,14135177,14914914,16562517,16861159,16909065,18050889,19679593,21450263
_66,0,0,0,0,0,0,6137,10850,18343,27272,44886,72089,105390,139855,168622,210491,216099,238127,301332,387072,466236,737423,909073,1087125,1424611,4268055,5390344,5389832,5590534,3453656,3287525,2687857,4382169,4672317,4707553,5046944,5509200,5634744,5838844,6380177,5485898,5753038,6019233
_67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147266,264415,423436,627178,831848,1085684,1178953,1287661,1576014,1153158,1266795,1256633,1309754,3217764,2800471,1804819,1705600,1441811,1486967,2074227,2076434,2146002,2186984,2640001,3045537,3097476,3140114
_70imp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_70x,3875,4535,5103,9085,13441,19334,28911,43644,55313,76114,107791,132647,169936,239905,275475,347514,435222,479615,542707,655098,844878,1003729,1154563,1319847,1487801,1671694,2108559,2455702,2761416,3420617,3953990,4027242,4399232,4540340,4550485,4727052,4848810,4882550,5053827,5184090,4942311,4881299,4798706
_71,88,113,140,172,245,345,538,706,1069,1795,2114,3176,4381,5484,8253,12394,19185,28435,42075,59104,89233,123295,145650,172622,238998,315335,355285,492624,470975,219422,233029,193627,161727,158872,140570,150935,144041,220635,202746,211700,288928,321249,353672
_72,696,977,1222,1514,2016,2838,4418,6361,8948,11906,19061,24824,25163,25720,32136,56374,73496,108195,127465,174908,226041,329256,437769,543658,778690,1190116,1587476,1859471,2166501,2597225,3046066,3179071,3803822,3926272,3987587,4314183,4705144,4726258,5340424,5850889,6499050,7282455,8149023
_73,3586,4384,5120,5878,7336,9430,12064,21117,29424,39235,62614,82074,115016,160572,180163,223166,299806,369654,496103,624296,799080,1043457,1335982,1648720,2080437,2542346,2938214,3271009,3018863,3051248,3457768,3896617,4206230,4706722,5407924,5905375,6541591,7720685,4399045,5896889,6709328,5731147,4690164
_741t4,5485,7677,9620,11901,15838,20864,32429,46545,67134,89660,140867,186004,237767,302141,397759,480059,564342,735822,946488,1159757,1612549,2092189,2588859,2936354,3552831,4408242,5222509,5740352,5257082,5311736,5675397,5695577,6757058,7488418,7925688,8211216,8913682,9594076,10880099,11211147,12105210,12484723,12871490
_745t8,3211,4536,5548,6881,9411,13266,20504,28517,43170,65454,105411,128797,136397,142619,153315,163398,201360,274168,345613,420063,580751,777649,970291,1176662,1397542,1691967,2140330,2508057,2716086,3041590,3251146,3488590,4196164,4681508,5022738,5461687,6072313,6627384,7232606,7232670,8383861,8982138,9618063
_L,135412,162818,197861,210156,280726,402012,610882,805861,1023084,1308898,1736004,2143577,2542371,2780067,2973483,3277935,3600823,4106190,4771221,5848951,7219101,8822876,10416660,11643067,13161227,15036835,16982568,18493091,18987112,19839124,21359002,23547974,25802413,27641555,30121269,32742501,35200113,37077622,39123719,41608454,41518591,43290060,45099702
_M,87307,112093,138736,157716,211118,325607,529808,669405,828602,1032871,1383886,1801690,2266296,2649602,2927821,3368067,3867619,4443413,5122749,6276773,7365298,8741159,10433385,11859809,13799761,16127945,18596749,20338708,20625934,21489925,22646320,25252548,28219641,31059431,34060676,36176912,38857096,42281766,46260412,47996410,48900393,50568691,52287622
_N,16814,26264,26784,31050,42336,59624,70600,85914,131340,172409,245397,351505,481162,638569,813250,1036075,1191634,1344882,1661397,1958043,2355237,2951022,3650630,4278621,5148813,6231308,7184937,8277962,8790466,9743299,10455374,13347920,14092619,14972570,15956170,17556085,19350641,21390585,23429611,26057725,28599565,30923952,33397792
_90,948,1411,1785,2095,2608,3751,5293,7377,13329,20766,36236,51409,62734,81090,89519,103739,153063,198338,255057,403025,463518,598250,777254,926747,1102917,1355866,1532751,1760731,1845907,1942651,2062063,2275709,2396196,2569665,2876461,3054308,3368222,3594643,3863934,4032566,4058394,4270704,4478764
_91,2950,4258,5301,5565,7591,12043,15322,19514,27687,36117,44185,57988,67913,73767,76762,88366,95146,102139,123319,157794,181094,216036,254190,290127,354428,434365,460572,490186,481585,485011,498129,513498,585538,579213,564700,578448,589996,646237,666168,680579,738705,775492,813767
_921t2,2781,3525,4431,6021,8850,13833,20715,28698,39915,60473,60215,68985,82116,104033,121417,115400,123821,141636,182167,227041,290843,351344,437735,479821,557402,729706,882277,932747,747982,984351,1254158,1223783,1586558,1641072,1713661,1873448,2073325,2184386,2219142,2387235,2575226,2530743,2439521
_923t7,6062,6888,7426,8570,11497,14484,18597,24299,31654,48805,66138,86252,109842,142701,181640,212757,259895,326608,388338,501776,702801,941625,1185667,1423813,1788985,2199595,2489600,2714153,2724801,2892324,3140988,3752932,4313855,4642747,4942735,5218534,5555935,6338904,6768423,7069252,7299213,7799644,8329699
_93,14072,17519,22444,23575,31689,42739,51495,65143,86380,117674,174738,210073,253975,295155,340777,400647,436224,476504,557343,702037,828322,960425,1076314,1223205,1374205,1528572,1736345,1932429,1951494,2067271,2220308,2332324,2523534,2577075,2477499,2516461,2734852,2935174,3389935,3315498,3302975,3445979,3592535
_P,6209,8169,9947,11752,16210,20827,24563,26827,34560,36541,35302,20756,23373,28131,33898,49876,55952,57277,88180,115045,142698,169260,235926,298696,381825,473897,565636,675663,676051,732933,777341,852090,878183,957074,1012235,1033843,1114005,1239479,1442031,1599680,1884586,1682986,1502952
_Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
