EUKLEMS code,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012
_351,47134.43359,63344.85547,80086.89844,93938.70313,97096.60938,109275.0313,139875.7813,174575.5469,229104.2031,271734.3125,267848.75,300199.8438,339206.3125,387822.3438,464097.9375,545132.375,649156.625,808379.1875,1100861,1416193.625,1776933.125,2088456.625,2363397,2665634.25,3044057.75,3365318.25,4017171,4502343,4698182,5006068,5724761,6471161,7299161,8763273,9431619,9936693,11223140,12476513,13566455,14500399,15502922,16406572,17189004
_353,0,0,0,0,0,0,29415.67383,29437.93164,38632.86719,45821.40234,45166.19141,50621.42188,57198.91797,65396.82813,78258.85938,91923.35156,109464.5078,136313.5469,165795.9688,197939.4219,235183.3125,266150.5,294160.0938,326245.9063,366394.5625,398767.0938,470197.6875,522021.375,617498.125,751455.0625,807057.3125,935950.75,1005413.438,1005302.375,1041368.438,1058688.125,1175969,1297802.5,1413535,1522480,1640679.75,1755284.5,1863939.375
_35x,295422.4375,397023.8125,501957.1563,588775.5625,608568.1875,684898.3125,876693.375,1094179.5,1435946.375,1703137.375,1678783.875,1881549.5,2126028.75,2430737.25,2908806.25,3416702.5,4068690.5,5066643,7345004,9793342,12583641,15020088,17155176,19473176,22376044,24878828,29828162,33542048,32919048,32373368,31921414,31372560,31023610,30485726,29967020,29462592,29056682,28673850,28303422,27943908,27608104,27283102,26965840
_36,243485.6563,300954.1875,349948.7813,377521.375,358884.75,371471.7813,437322.0938,501991.375,569958.3125,614422.75,575012.5,622049.25,684049.8125,765858.9375,897768.375,1035769.313,1214190.875,1490577.625,1699382,1930458,2202670.25,2417826.5,2619029,2861788,3165321.5,3394491.25,3955205,4350186,4306250,4350498.5,4525963.5,4649238,4802822.5,4974316.5,5207337,5344284.5,5594439,5857289,6093894,6304330,6551858,6783774.5,6990911
_37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_40x,1944931.5,2462346.5,2882821.75,3317282.75,3021570.5,3171637,3770091,4385813.5,4787015.5,5281716.5,5336278,6343123.5,7399045,8973118,10493104,11670593,12554290,13675878,14165928,14968767,15873080,17454670,20417314,24334022,29073944,29994708,35731196,38012392,41258012,46172544,50867932,55812796,60582032,65108788,69133144,73556664,78329384,83406816,88367512,93179088,98473688,103735424,108856392
_402,9791.694336,11551.21777,25752.50586,69855.97656,175290.9688,168330.6719,230762.6406,280166.8438,305795.75,337397.375,340882.75,405200.3125,472652.8125,573205,670302.0625,745520.375,801971.125,873618.5,891846.6875,926539.1875,967952.75,1044854.188,1201564.25,1415365.25,1675058.375,1713034.25,2026029.875,2145296,2319624,2620084.5,2911084.75,3232710.75,3553266.75,3866265,4144553.5,4455314.5,4794500,5158273,5514884,5861905,6246815.5,6630275.5,7003693.5
_41,326754.5625,421111.2813,501875.3438,587883,545094.125,582441.875,704776.25,834603.0625,849293.9375,870470,831569.25,947168.1875,1073204.125,1270094.25,1462264.625,1606878.125,1714476,1854597.625,2367824.5,3043623.25,3725022.75,4763969,6277662,8052443.5,10167609,11004599,13608820,14822121,16817360,19588090,22215030,24979260,27670468,30251286,32545452,35016696,37642060,40400188,43078104,45662008,48477932,51261816,53958524
_F,876828.1875,1194040,1471148,1822387.375,1771023,1981624.75,2516388.75,3124828.5,3880259.25,4485237.5,4674986,5510621,6577349.5,7718787.5,9209190,10663706,12049768,13906488,16399011,18252052,21576290,27123928,33392582,39491952,44132988,46991460,52240936,57374976,56148804,54987684,54068160,52998972,51951556,50934420,50075012,49473280,48916284,48528328,48135576,47726980,47550500,47380336,47169548
_50,296416,359341.8125,400796.2188,444415.2813,387835.6875,389281.625,444125.75,495003.1875,528719.5,526891.8125,490142.9063,544196.25,660560.0625,760104.75,946523.875,995593.875,1158511.75,1374126.375,1753103.875,1979563.25,2271121.75,2532952.25,2756147,3201181,3532472,4148279.75,4525358.5,5147169,5049258.5,5024895.5,5034375,5058335,5112062.5,5152099,5136073.5,5162393.5,5210006,5275454.5,5335008.5,5386849,5464045,5538009,5603785.5
